Row ID,Segment,WC,RawTokenCount,social,group,behavior,people,belief,human,society,individual,values,life,shared,members,patterns,ideas,learned,system,material,ways,transmitted,set,knowledge,practices,meanings,man,customs,language,attitudes,groups,cultural,institutions,total,environment,systems,acquired,meaning,common,symbols,forms,socially,generation,activities,process,artifacts,norms,sense,products,time,means,living,sum,things,complex,symbolic,habits,learning,organization,behaviors,intellectual,rules,community,thought,action,specific,communication,nature,tools,objects,totality,including,aspects,men,collective,share,pattern,thinking,development,historically,interaction,distinctive,structures,elements,information,order,created,general,biological,traditions,relations,form,political,experience,processes,natural,organized,civilization,characteristic,physical,characteristics,class,tradition,activity,artistic,religious,context,mental,societies,arts,religion,mind,identity,body,beings,place,power,result,product,actions,population,phenomena,passed,experiences,music,species,idea,standards,history,transmission,understood,lives,differences,produced,integrated,simply,traditional,feeling,generations,degree,reality,heritage,mean,member,problems,structure,resources,science,production,derived,implicit,economic,needs,modes,level,techniques
df1,1,34,76,0,0,0,0,0.0294,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294,0,0,0.0294,0,0,0,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0.0294,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0
df2,1,17,44,0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0,0,0,0,0,0,0,0,0,0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0,0,0,0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df3,1,34,73,0.0294,0,0,0.0588,0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588,0,0,0,0,0.0294,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0.0294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df4,1,16,31,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0
df5,1,16,31,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df6,1,42,89,0,0,0,0,0,0,0,0,0,0.0238,0,0,0,0,0,0,0.0238,0,0,0,0,0,0,0.0238,0,0,0.0238,0,0,0.0238,0,0,0,0,0,0,0,0.0238,0,0,0.0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238,0,0,0,0,0.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238,0,0,0,0.0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238
df7,1,37,75,0.027,0.027,0,0,0,0.027,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0.027,0,0,0,0,0,0,0,0.0811,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df8,1,37,80,0.027,0.027,0,0,0.027,0,0,0,0,0,0,0,0,0,0.027,0,0,0.027,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0.027,0,0.027,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df9,1,21,44,0,0,0.0476,0,0,0,0.0476,0,0,0,0,0,0.0476,0,0,0,0.0476,0,0,0,0,0,0,0,0,0.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df10,1,35,72,0,0,0.0286,0,0,0,0.0286,0,0,0,0,0.0286,0.0286,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,0,0,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df11,1,21,42,0,0,0.0476,0,0,0,0.0476,0,0,0,0.0476,0.0476,0.0476,0,0,0,0,0,0.0476,0,0.0476,0,0,0,0,0,0.0476,0,0,0,0.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
df12,1,42,88,0,0,0,0,0.0238,0,0.0238,0.0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238,0,0,0,0,0,0.0238,0,0,0,0,0,0,0,0,0,0,0,0,0.0238,0,0,0,0,0,0.0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238,0.0238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
